,117952-0,-2-7184,7184-7184,-1-18515,18515-18515,117952-117952,-1-117952,18515-117952,0-393555
105,0.13322284498705406,0.796335045879515,0.3326160197716917,0.796335045879515,0.1859339183074631,0.13322284498705406,0.796335045879515,0.1859339183074631,0.2121815305695548
106,0.13504704308063392,0.7965182935855393,0.322516720330287,0.7965182935855393,0.19238903121689516,0.13504704308063392,0.7965182935855393,0.19238903121689516,0.20494325539998506
107,0.11313189754584971,0.7966923789062623,0.30584781655968696,0.7966923789062623,0.20245556125388256,0.11313189754584971,0.7966923789062623,0.20245556125388256,0.2028815902070184
108,0.10947374554574345,0.7968577599609492,0.2960699349135157,0.7968577599609492,0.20627747278846126,0.10947374554574345,0.7968577599609492,0.20627747278846126,0.19420688238464853
109,0.11427721537487959,0.7970148719629018,0.2952499137515131,0.7970148719629018,0.2075491034772148,0.11427721537487959,0.7970148719629018,0.2075491034772148,0.18943753578074798
110,0.09609373943813271,0.7971641283647567,0.28623465210078125,0.7971641283647567,0.2132093482289249,0.09609373943813271,0.7971641283647567,0.2132093482289249,0.18884866433348335
111,0.10804494614157459,0.7973059219465188,0.28772018494080137,0.7973059219465188,0.213483690267269,0.10804494614157459,0.7973059219465188,0.213483690267269,0.18146075982927815
112,0.10236166749261404,0.7974406258491928,0.2898776107929188,0.7974406258491928,0.21411215944273315,0.10236166749261404,0.7974406258491928,0.21411215944273315,0.1815123708751047
113,0.08731020005510391,0.7975685945567332,0.27770175544858217,0.7975685945567332,0.21913393090979608,0.08731020005510391,0.7975685945567332,0.21913393090979608,0.18131480287706875
114,0.09036018283973456,0.7976901648288965,0.27792435577732966,0.7976901648288965,0.2168443147372716,0.09036018283973456,0.7976901648288965,0.2168443147372716,0.17390216675791653
115,0.09727311991956455,0.7978056565874517,0.2741321982085429,0.7978056565874517,0.21551996123477885,0.09727311991956455,0.7978056565874517,0.21551996123477885,0.1717451878290064
116,0.09248217968687149,0.7979153737580792,0.2781392382870836,0.7979153737580792,0.2170412999727468,0.09248217968687149,0.7979153737580792,0.2170412999727468,0.17284144320365208
117,0.09075730886523788,0.7980196050701752,0.2758518407334749,0.7980196050701752,0.21928883088976225,0.09075730886523788,0.7980196050701752,0.21928883088976225,0.17322038103989068
118,0.07795066908751278,0.7981186248166665,0.254442990318237,0.7981186248166665,0.22521085694532306,0.07795066908751278,0.7981186248166665,0.22521085694532306,0.17342714156154676
119,0.10564290406465592,0.7982126935758331,0.2897615238783888,0.7982126935758331,0.19993901550337825,0.10564290406465592,0.7982126935758331,0.19993901550337825,0.1779670010839063
120,0.1080592251209288,0.7983020588970414,0.2942373315607045,0.7983020588970414,0.20626796203803824,0.1080592251209288,0.7983020588970414,0.20626796203803824,0.179140644691459
121,0.09311857423751511,0.7983869559521893,0.262551041301396,0.7983869559521893,0.21796350532359554,0.09311857423751511,0.7983869559521893,0.21796350532359554,0.17849867174504902
122,0.1199577272436109,0.7984676081545798,0.28962972507079865,0.7984676081545798,0.19959329098187958,0.1199577272436109,0.7984676081545798,0.19959329098187958,0.18362732692251635
123,0.12668892662455308,0.7985442277468509,0.31095410451375693,0.7985442277468509,0.20358930930005797,0.12668892662455308,0.7985442277468509,0.20358930930005797,0.18506635855202733
124,0.12223829786728495,0.7986170163595083,0.29985851065305685,0.7986170163595083,0.2117350664432827,0.12223829786728495,0.7986170163595083,0.2117350664432827,0.1831506598210184
125,0.10593602720180365,0.7986861655415329,0.2851399324100602,0.7986861655415329,0.21494221791051904,0.10593602720180365,0.7986861655415329,0.21494221791051904,0.1818440345853895
126,0.10212343374639107,0.7987518572644563,0.28151349272719295,0.7987518572644563,0.2150642462735597,0.10212343374639107,0.7987518572644563,0.2150642462735597,0.1766015474325565
127,0.09643185912856733,0.7988142644012335,0.2791330398285981,0.7988142644012335,0.21488564179073466,0.09643185912856733,0.7988142644012335,0.21488564179073466,0.1734775665825564
128,0.09190287639580103,0.7988735511811718,0.2766694645274521,0.7988735511811718,0.2153738006664587,0.09190287639580103,0.7988735511811718,0.2153738006664587,0.1707544495379758
129,0.08375688993632703,0.7989298736221132,0.26399668469855025,0.7989298736221132,0.21818693557133384,0.08375688993632703,0.7989298736221132,0.21818693557133384,0.16793762112997562
130,0.10775882346751466,0.7989833799410075,0.2815773435663373,0.7989833799410075,0.20458038846882734,0.10775882346751466,0.7989833799410075,0.20458038846882734,0.1670325478603351
131,0.09515540033118365,0.7990342109439572,0.27385008720786197,0.7990342109439572,0.20887199628447842,0.09515540033118365,0.7990342109439572,0.20887199628447842,0.1671225191879481
132,0.10414592129200378,0.7990825003967593,0.2780721165496823,0.7990825003967593,0.21060483404526342,0.10414592129200378,0.7990825003967593,0.21060483404526342,0.16404189907217684
133,0.09838007068258503,0.7991283753769214,0.2814198211525799,0.7991283753769214,0.21260545508248269,0.09838007068258503,0.7991283753769214,0.21260545508248269,0.1657332790054058
134,0.08458822472482252,0.7991719566080753,0.2716712269292793,0.7991719566080753,0.21787912079028746,0.08458822472482252,0.7991719566080753,0.21787912079028746,0.16698319433439748
135,0.09950478438199013,0.7992133587776715,0.27781367934122264,0.7992133587776715,0.2161918030369244,0.09950478438199013,0.7992133587776715,0.2161918030369244,0.1611821930067819
136,0.08142280792882667,0.7992526908387879,0.26278957885367926,0.7992526908387879,0.2218422277396501,0.08142280792882667,0.7992526908387879,0.2218422277396501,0.1633450298367213
137,0.10174849912438384,0.7992900562968486,0.2911063204398561,0.7992900562968486,0.20157431309126186,0.10174849912438384,0.7992900562968486,0.20157431309126186,0.16859731392236987
138,0.10803572105928878,0.7993255534820062,0.30088430093239604,0.7993255534820062,0.20778290183480777,0.10803572105928878,0.7993255534820062,0.20778290183480777,0.1711548911210603
139,0.09576954914065416,0.7993592758079059,0.2635603934000837,0.7993592758079059,0.2195042109777392,0.09576954914065416,0.7993592758079059,0.2195042109777392,0.1707070208718571
140,0.12277656682045567,0.7993913120175106,0.3019371377583423,0.7993913120175106,0.191872192817305,0.12277656682045567,0.7993913120175106,0.191872192817305,0.17733660397417966
141,0.12540343438020748,0.799421746416635,0.3061628277451322,0.799421746416635,0.201596286490838,0.12540343438020748,0.799421746416635,0.201596286490838,0.1789544720355752
142,0.12133170465062637,0.7994506590958033,0.29032068134295275,0.7994506590958033,0.20913503133363462,0.12133170465062637,0.7994506590958033,0.20913503133363462,0.17765870959667768
