,819-819,53039-819,76375-819,-1-819,819-0,53039-53039,-1-53039,271205-76375,76375-76375,76375-271205,347243-418676,347243-420827
136,0.032315293053953656,0.1222315908525347,0.5392621988974801,0.7992526908387879,0.032315293053953656,0.1222315908525347,0.7992526908387879,0.5125123511054577,0.5392621988974801,0.5392621988974801,0.0,0.0
137,0.034398059137265,0.12149110570963834,0.5204207021061502,0.7992900562968486,0.034398059137265,0.12149110570963834,0.7992900562968486,0.4970080356551168,0.5204207021061502,0.5204207021061502,0.0,0.0
138,0.040772596532252674,0.1210788517400891,0.5237893123162037,0.7993255534820062,0.040772596532252674,0.1210788517400891,0.7993255534820062,0.5006685269162385,0.5237893123162037,0.5237893123162037,0.0,0.0
139,0.029170552879984338,0.12108584449430865,0.5359717796696633,0.7993592758079059,0.029170552879984338,0.12108584449430865,0.7993592758079059,0.5095019476815,0.5359717796696633,0.5359717796696633,0.0,0.0
140,0.023309012676015702,0.12045706876270462,0.5217071704826335,0.7993913120175106,0.023309012676015702,0.12045706876270462,0.7993913120175106,0.4976849401428867,0.5217071704826335,0.5217071704826335,0.0,0.0
141,0.024797000175920965,0.11988470852499825,0.5157729094354683,0.799421746416635,0.024797000175920965,0.11988470852499825,0.799421746416635,0.494740200754156,0.5157729094354683,0.5157729094354683,0.0,0.0
142,0.03911357281528625,0.12000397463474377,0.52373434089607,0.7994506590958033,0.03911357281528625,0.12000397463474377,0.7994506590958033,0.5003008466746232,0.52373434089607,0.52373434089607,0.0,0.0
143,0.035231746002037184,0.12012172891849997,0.5321284223457623,0.7994781261410131,0.035231746002037184,0.12012172891849997,0.7994781261410131,0.5064846285519373,0.5321284223457623,0.5321284223457623,0.0,0.0
144,0.024730621601012193,0.11985001029415007,0.532687892692454,0.7995042198339625,0.024730621601012193,0.11985001029415007,0.7995042198339625,0.5070625600405485,0.532687892692454,0.532687892692454,0.0,0.0
145,0.02644897466535458,0.11933886628603896,0.5178641195510719,0.7995290088422643,0.02644897466535458,0.11933886628603896,0.7995290088422643,0.4974947668501241,0.5178641195510719,0.5178641195510719,0.0,0.0
146,0.032213872095990484,0.11951138433219516,0.5296906649967322,0.799552558400151,0.032213872095990484,0.11951138433219516,0.799552558400151,0.5041594582071073,0.5296906649967322,0.5296906649967322,0.0,0.0
147,0.039394006541365253,0.11929906408008797,0.5234461414516938,0.7995749304801435,0.039394006541365253,0.11929906408008797,0.7995749304801435,0.5014360386307075,0.5234461414516938,0.5234461414516938,0.0,0.0
148,0.0353699363333497,0.11947969612675265,0.5330874253347702,0.7995961839561363,0.0353699363333497,0.11947969612675265,0.7995961839561363,0.5072813855005891,0.5330874253347702,0.5330874253347702,0.0,0.0
149,0.02480575688462154,0.11927051174691654,0.5327588479560141,0.7996163747583295,0.02480575688462154,0.11927051174691654,0.7996163747583295,0.5071586657770528,0.5327588479560141,0.5327588479560141,0.0,0.0
150,0.024697892162894676,0.11881586835452468,0.5244185187708839,0.799635556020413,0.024697892162894676,0.11881586835452468,0.799635556020413,0.5001102619195246,0.5244185187708839,0.5244185187708839,0.0,0.0
151,0.02448872265500827,0.11840350306973216,0.5227317726308238,0.7996537782193924,0.02448872265500827,0.11840350306973216,0.7996537782193924,0.4985050463183212,0.5227317726308238,0.5227317726308238,0.0,0.0
152,0.0243764018111218,0.11803132758578354,0.5197589120572742,0.7996710893084228,0.0243764018111218,0.11803132758578354,0.7996710893084228,0.4959748648350719,0.5197589120572742,0.5197589120572742,0.0,0.0
153,0.03226896059492575,0.11769543908949871,0.5149968607643272,0.7996875348430017,0.03226896059492575,0.11769543908949871,0.7996875348430017,0.4921524519122054,0.5149968607643272,0.5149968607643272,0.0,0.0
154,0.02993521804474973,0.11765320852905801,0.521790367944636,0.7997031581008516,0.02993521804474973,0.11765320852905801,0.7997031581008516,0.497796895549076,0.521790367944636,0.521790367944636,0.0,0.0
155,0.028095067705659057,0.1176179564367781,0.523284825203782,0.799718000195809,0.028095067705659057,0.1176179564367781,0.799718000195809,0.4993415067310849,0.523284825203782,0.523284825203782,0.0,0.0
156,0.03566662333585096,0.11758617277219686,0.5217773116631803,0.7997321001860185,0.03566662333585096,0.11758617277219686,0.7997321001860185,0.49990685525219614,0.5217773116631803,0.5217773116631803,0.0,0.0
157,0.032365156156852044,0.11793374690066286,0.5316192680361861,0.7997454951767176,0.032365156156852044,0.11793374690066286,0.7997454951767176,0.506289433439875,0.5316192680361861,0.5316192680361861,0.0,0.0
158,0.022490078030257914,0.11787529186185329,0.5319470847656564,0.7997582204178817,0.022490078030257914,0.11787529186185329,0.7997582204178817,0.5066246631536389,0.5319470847656564,0.5319470847656564,0.0,0.0
159,0.024414349892558224,0.11755668240279729,0.5175314070557464,0.7997703093969876,0.024414349892558224,0.11755668240279729,0.7997703093969876,0.49732328800747055,0.5175314070557464,0.5175314070557464,0.0,0.0
160,0.030531868465167845,0.11790296336963209,0.5294521675394603,0.7997817939271382,0.030531868465167845,0.11790296336963209,0.7997817939271382,0.5040593547208068,0.5294521675394603,0.5294521675394603,0.0,0.0
161,0.028611267221590114,0.11784746416128804,0.5266649701064009,0.7997927042307813,0.028611267221590114,0.11784746416128804,0.7997927042307813,0.5022089688833032,0.5266649701064009,0.5266649701064009,0.0,0.0
162,0.03606580442708362,0.11779334846117685,0.5249133030410875,0.7998030690192423,0.03606580442708362,0.11779334846117685,0.7998030690192423,0.5024314634937527,0.5249133030410875,0.5249133030410875,0.0,0.0
163,0.02553660169271732,0.1181207236756868,0.5372089939142795,0.7998129155682802,0.02553660169271732,0.1181207236756868,0.7998129155682802,0.5107399976193252,0.5372089939142795,0.5372089939142795,0.0,0.0
164,0.020762358641200573,0.11778104757646436,0.5221548801924537,0.7998222697898661,0.020762358641200573,0.11778104757646436,0.7998222697898661,0.49819784199687134,0.5221548801924537,0.5221548801924537,0.0,0.0
165,0.02885983723471274,0.11746959940713665,0.5199182280232152,0.7998311563003728,0.02885983723471274,0.11746959940713665,0.7998311563003728,0.4962174546163622,0.5199182280232152,0.5199182280232152,0.0,0.0
166,0.019957117974487938,0.11744938863299284,0.5279669367014322,0.7998395984853541,0.019957117974487938,0.11744938863299284,0.7998395984853541,0.5028141702021964,0.5279669367014322,0.5279669367014322,0.0,0.0
