,2184-0,5059-0,238562-0,2183-5059,-2-8863,-2-12624,239029-12624,5059-2183,-2-2184,2183-230462,230462-238562,238562-235228,239029-235228,5059-240736
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1826212067238776,0.026506684743015447,0.039901018074344985,0.04716036116629739,0.04000000000000001,0.04000000000000001,0.0,0.026506684743015447,0.04000000000000001,0.04716036116629739,0.0,0.039901018074344985,0.0,0.026506684743015447
2,0.3407773932812498,0.03170855582780779,0.06647102263118983,0.06459725753204176,0.07800000000000001,0.07800000000000001,0.0,0.03170855582780779,0.07800000000000001,0.06459725753204176,0.0,0.06647102263118983,0.0,0.03170855582780779
3,0.48845081834631254,0.0431731706415878,0.09123473805978122,0.0729341787528856,0.11410000000000002,0.11410000000000002,0.0,0.0431731706415878,0.11410000000000002,0.0729341787528856,0.0,0.09123473805978122,0.0,0.0431731706415878
4,0.5848353918440944,0.05557708629154905,0.10819160217718092,0.09497290789147968,0.14839500000000003,0.14839500000000003,0.0,0.05557708629154905,0.14839500000000003,0.09497290789147968,0.0,0.10819160217718092,0.0,0.05557708629154905
5,0.6345610689146591,0.056632680716469284,0.1173719931761304,0.11819193563287086,0.18097525000000003,0.18097525000000003,0.0,0.056632680716469284,0.18097525000000003,0.11819193563287086,0.0,0.1173719931761304,0.0,0.056632680716469284
6,0.6781964687407965,0.05427682373703174,0.1244270593608741,0.12217857935032579,0.21192648750000004,0.21192648750000004,0.0,0.05427682373703174,0.21192648750000004,0.12217857935032579,0.0,0.1244270593608741,0.0,0.05427682373703174
7,0.7114466890743809,0.056913856628021356,0.1297873530793603,0.10655715070657847,0.24133016312500002,0.24133016312500002,0.0,0.056913856628021356,0.24133016312500002,0.10655715070657847,0.0,0.1297873530793603,0.0,0.056913856628021356
8,0.7327879762605302,0.06485758127118983,0.13376324363746062,0.1180789417601694,0.26926365496875004,0.26926365496875004,0.0,0.06485758127118983,0.26926365496875004,0.1180789417601694,0.0,0.13376324363746062,0.0,0.06485758127118983
9,0.7433204067026368,0.0634479834528211,0.1361691842061259,0.13606181358420877,0.2958004722203126,0.2958004722203126,0.0,0.0634479834528211,0.2958004722203126,0.13606181358420877,0.0,0.1361691842061259,0.0,0.0634479834528211
