,197727-0,1542-1542,-2-1542,92453-1542,-2-92453,0-92453,92453-92453,92453-167043,167043-167043,-1-168731,180791-168731,-1-180791,168731-180791,168731-203394,190088-238477,238477-197727
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.08059589936776543,0.04000000000000001,0.06185581094184221,0.04000000000000001,0.14873440029417728,0.06185581094184221,0.06185581094184221,0.031190229786055793,0.04000000000000001,0.028634563734464814,0.04000000000000001,0.02299633151413188,0.02299633151413188,0.0,0.0
2,0.0,0.18902971653905873,0.07800000000000001,0.11328642826166316,0.07800000000000001,0.154982044984332,0.11328642826166316,0.11328642826166316,0.11951062654867595,0.07800000000000001,0.05275196460435046,0.07800000000000001,0.04411837717796074,0.04411837717796074,0.0,0.0
3,0.0,0.25949699885615474,0.11410000000000002,0.1527597955737465,0.11410000000000002,0.16071764809470682,0.1527597955737465,0.1527597955737465,0.18341251983551957,0.11410000000000002,0.06899587871728284,0.11410000000000002,0.05889623155403838,0.05889623155403838,0.0,0.0
4,0.0,0.3062779030954291,0.14839500000000003,0.18330984751547064,0.14839500000000003,0.16562828937770976,0.18330984751547064,0.18330984751547064,0.23040821309153817,0.14839500000000003,0.07977423014654966,0.14839500000000003,0.06921639211089033,0.06921639211089033,0.0,0.0
5,0.0,0.2905870031626266,0.18097525000000003,0.17065237481120155,0.18097525000000003,0.16924138941628378,0.17065237481120155,0.17065237481120155,0.26010662584473,0.18097525000000003,0.10259553870791176,0.18097525000000003,0.07192818776334216,0.07192818776334216,0.0,0.0
6,0.0,0.300907047346647,0.21192648750000004,0.16991127188943167,0.21192648750000004,0.16564359062325018,0.16991127188943167,0.16991127188943167,0.24458495411682413,0.21192648750000004,0.12194381415465719,0.21192648750000004,0.07355791119694884,0.07355791119694884,0.0,0.0
7,0.0,0.3538420355615716,0.24133016312500002,0.20401149301998409,0.24133016312500002,0.16430724296410745,0.20401149301998409,0.20401149301998409,0.23762801324754343,0.24133016312500002,0.11731543628835102,0.24133016312500002,0.07915559323102195,0.07915559323102195,0.0,0.0
8,0.0,0.3247877307269334,0.26926365496875004,0.18820480032414844,0.26926365496875004,0.16822282726012183,0.18820480032414844,0.18820480032414844,0.26546508343365716,0.26926365496875004,0.13020916422506829,0.26926365496875004,0.07922554344367227,0.07922554344367227,0.0,0.0
9,0.0,0.3260503485637274,0.2958004722203126,0.18497917622357157,0.2958004722203126,0.1647523846531579,0.18497917622357157,0.18497917622357157,0.24900011565479813,0.2958004722203126,0.142242738486054,0.2958004722203126,0.07892259692721815,0.07892259692721815,0.0,0.0
