,input,expected_output,network_output
0,1.0,0,0.0012710101755476911
1,0.0,0,0.013007521754831228
2,0.0,0,0.04551633042505807
3,0.0,0,0.13396240523467118
4,2.0,1,0.470634129900522
5,0.0,0,0.0025636376497116336
6,0.0,0,0.0018959577945269952
7,1.0,0,0.0018807087373401482
8,0.0,0,0.024031706721701584
9,0.0,0,0.09654559251913129
10,0.0,0,0.30692912257702604
11,2.0,1,0.7713231515504579
12,0.0,0,0.00434524482062436
13,1.0,0,0.001877297395889679
14,0.0,0,0.022915247169196643
15,0.0,0,0.08909296881855049
16,0.0,0,0.29771575200994327
17,2.0,1,0.7680166472714415
18,0.0,0,0.004469934958537054
19,0.0,0,0.001973009429654203
20,0.0,0,0.001892631983236199
21,1.0,0,0.0018294473778606418
22,0.0,0,0.02201685652425279
23,0.0,0,0.08569251683541099
24,0.0,0,0.26525500690537
25,2.0,1,0.7238865477863207
26,0.0,0,0.003780067792021469
27,1.0,0,0.0018295222481058745
28,0.0,0,0.022405603944691384
29,0.0,0,0.08709224941008126
30,0.0,0,0.29047984571004565
31,2.0,1,0.7605796377564024
32,0.0,0,0.004375266500647457
33,0.0,0,0.001968988111403344
34,0.0,0,0.0018919976307096068
35,1.0,0,0.001828869960250561
36,0.0,0,0.022001794555644823
37,0.0,0,0.08561502219056306
38,0.0,0,0.26497953229910415
39,2.0,1,0.7235387362523232
40,0.0,0,0.0037767733307446103
41,0.0,0,0.0018293405716057055
42,1.0,0,0.00178114062303282
43,0.0,0,0.0221260627054895
44,0.0,0,0.08727744631280601
45,0.0,0,0.2781166914123302
46,2.0,1,0.7422968693000048
47,0.0,0,0.004036395519756218
48,1.0,0,0.0018821630489314959
49,0.0,0,0.023256278620626722
50,0.0,0,0.09093364257573527
51,0.0,0,0.30383554348134995
52,2.0,1,0.773867444671066
53,0.0,0,0.004541797972768112
54,1.0,0,0.0019723934919121597
55,0.0,0,0.024668336264048837
56,0.0,0,0.09727957967418514
57,0.0,0,0.32551720198293355
58,2.0,1,0.7932362689364308
59,0.0,0,0.004819425772984773
60,0.0,0,0.00197868378302346
61,0.0,0,0.0018861632970816875
62,1.0,0,0.0018244049688927206
63,0.0,0,0.02193544978812397
64,0.0,0,0.08531906308216461
65,0.0,0,0.2641490229049783
66,2.0,1,0.7225805799132442
67,0.0,0,0.0037699034115292926
68,0.0,0,0.0018301758329734709
69,1.0,0,0.0017821248777476094
70,0.0,0,0.022145381975499083
71,0.0,0,0.08737109972008202
72,0.0,0,0.2784219561417888
73,2.0,1,0.7426369953893631
74,0.0,0,0.004039760458585732
75,1.0,0,0.0018821649430754025
76,0.0,0,0.023253615477456427
77,0.0,0,0.09091846925990889
78,0.0,0,0.3037860046405891
79,2.0,1,0.7738212524549712
80,0.0,0,0.004541227098594658
81,0.0,0,0.00197240385324258
82,0.0,0,0.0018896376471928707
83,1.0,0,0.0018270838110039844
84,0.0,0,0.021975235037152256
85,0.0,0,0.08549650911986595
86,0.0,0,0.2646466811398912
87,2.0,1,0.7231551362352986
88,0.0,0,0.0037740121022635377
89,1.0,0,0.0018296714269529747
90,0.0,0,0.02241336359414986
91,0.0,0,0.08713345371221594
92,0.0,0,0.2906175168586932
93,2.0,1,0.7607198684388187
94,0.0,0,0.004376850638988628
95,1.0,0,0.001968968164078419
96,0.0,0,0.0247346586028017
97,0.0,0,0.0977225530831465
98,0.0,0,0.3269070357173738
99,2.0,1,0.7943559956138987
100,0.0,0,0.004835462101296799
101,0.0,0,0.0019782441254798918
102,1.0,0,0.0018851985507531918
103,0.0,0,0.024273200236721675
104,0.0,0,0.0977882158813574
105,0.0,0,0.3130798965693289
106,2.0,1,0.7777823021483079
107,0.0,0,0.004451474085944538
108,0.0,0,0.0018919580942852563
109,0.0,0,0.0018171572693138423
110,1.0,0,0.001769317087910086
111,0.0,0,0.02089622686714699
112,0.0,0,0.08034800319132604
113,0.0,0,0.2480208449090466
114,2.0,1,0.7017314529312335
115,0.0,0,0.003602116018296822
116,0.0,0,0.0018303521918833048
117,1.0,0,0.0017875790771227492
118,0.0,0,0.022246067484338692
119,0.0,0,0.08785658238426942
120,0.0,0,0.279901059125734
121,2.0,1,0.7442327086359004
122,0.0,0,0.004054491303739152
123,0.0,0,0.001881474619099617
124,0.0,0,0.0018203840358330917
125,1.0,0,0.001771612920370337
126,0.0,0,0.020921946342774625
127,0.0,0,0.08044900825430461
128,0.0,0,0.24824182436891273
129,2.0,1,0.7019779423614708
130,0.0,0,0.0036027471261812598
131,1.0,0,0.001829560179841694
132,0.0,0,0.022547561863031248
133,0.0,0,0.08789867253077228
134,0.0,0,0.2931158534508075
135,2.0,1,0.7632220051303117
136,0.0,0,0.0044046699167697234
137,0.0,0,0.001968173014951918
138,0.0,0,0.0018902281504467214
139,1.0,0,0.0018274707407087548
140,0.0,0,0.021976706025264005
141,0.0,0,0.0854962789830111
