,-1-62,62-62,-2-62,62-0,61-0,0-0
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04000000000000001,0.0,0.0,0.0,0.0,0.0
2,0.07800000000000001,0.0,0.0,0.0,0.0,0.0
3,0.11410000000000002,0.0,0.0,0.0,0.0,0.0
4,0.14839500000000003,0.0,0.0,0.0,0.0,0.0
5,0.18097525000000003,0.0,0.0,0.0,0.0,0.0
6,0.21192648750000004,0.0,0.0,0.0,0.0,0.0
7,0.24133016312500002,0.0,0.0,0.0,0.0,0.0
8,0.26926365496875004,0.0,0.0,0.0,0.0,0.0
9,0.2958004722203126,0.0,0.0,0.0,0.0,0.0
10,0.32101044860929695,0.0,0.0,0.0,0.0,0.0
11,0.3449599261788321,0.0,0.0,0.0,0.0,0.0
12,0.36771192986989043,0.0,0.0,0.0,0.0,0.0
13,0.3893263333763959,0.0,0.0,0.0,0.0,0.0
14,0.4098600167075761,0.0,0.0,0.0,0.0,0.0
15,0.4293670158721973,0.0,0.0,0.0,0.0,0.0
16,0.44789866507858744,0.0,0.0,0.0,0.0,0.0
17,0.4655037318246581,0.0,0.0,0.0,0.0,0.0
18,0.4822285452334252,0.0,0.0,0.0,0.0,0.0
19,0.49811711797175395,0.0,0.0,0.0,0.0,0.0
20,0.5132112620731663,0.0,0.0,0.0,0.0,0.0
21,0.5275506989695079,0.0,0.0,0.0,0.0,0.0
22,0.5411731640210325,0.0,0.0,0.0,0.0,0.0
23,0.5541145058199809,0.0,0.0,0.0,0.0,0.0
24,0.5664087805289819,0.0,0.0,0.0,0.0,0.0
25,0.5780883415025329,0.0,0.0,0.0,0.0,0.0
26,0.5891839244274062,0.0,0.0,0.0,0.0,0.0
27,0.5997247282060358,0.0,0.0,0.0,0.0,0.0
28,0.609738491795734,0.0,0.0,0.0,0.0,0.0
29,0.6192515672059473,0.0,0.0,0.0,0.0,0.0
30,0.62828898884565,0.0,0.0,0.0,0.0,0.0
31,0.6368745394033675,0.0,0.0,0.0,0.0,0.0
32,0.6450308124331992,0.0,0.0,0.0,0.0,0.0
33,0.6527792718115392,0.0,0.0,0.0,0.0,0.0
34,0.6601403082209623,0.0,0.0,0.0,0.0,0.0
35,0.6671332928099142,0.0,0.0,0.0,0.0,0.0
36,0.6737766281694185,0.0,0.0,0.0,0.0,0.0
37,0.6800877967609475,0.0,0.0,0.0,0.0,0.0
38,0.6860834069229002,0.0,0.0,0.0,0.0,0.0
39,0.6917792365767551,0.0,0.0,0.0,0.0,0.0
40,0.6971902747479174,0.0,0.0,0.0,0.0,0.0
41,0.7023307610105215,0.0,0.0,0.0,0.0,0.0
42,0.7072142229599955,0.0,0.0,0.0,0.0,0.0
43,0.7118535118119957,0.0,0.0,0.0,0.0,0.0
44,0.7162608362213959,0.0,0.0,0.0,0.0,0.0
45,0.7204477944103261,0.0,0.0,0.0,0.0,0.0
46,0.7244254046898099,0.0,0.0,0.0,0.0,0.0
47,0.7282041344553194,0.0,0.0,0.0,0.0,0.0
48,0.7317939277325535,0.0,0.0,0.0,0.0,0.0
49,0.7352042313459258,0.0,0.0,0.0,0.0,0.0
50,0.7384440197786295,0.0,0.0,0.0,0.0,0.0
51,0.741521818789698,0.0,0.0,0.0,0.0,0.0
52,0.7444457278502131,0.0,0.0,0.0,0.0,0.0
53,0.7472234414577025,0.0,0.0,0.0,0.0,0.0
54,0.7498622693848174,0.0,0.0,0.0,0.0,0.0
55,0.7523691559155765,0.0,0.0,0.0,0.0,0.0
56,0.7547506981197977,0.0,0.0,0.0,0.0,0.0
57,0.7570131632138077,0.0,0.0,0.0,0.0,0.0
58,0.7591625050531173,0.0,0.0,0.0,0.0,0.0
59,0.7612043798004615,0.0,0.0,0.0,0.0,0.0
60,0.7631441608104385,0.0,0.0,0.0,0.0,0.0
61,0.7649869527699166,0.0,0.0,0.0,0.0,0.0
62,0.7667376051314208,0.0,0.0,0.0,0.0,0.0
63,0.7684007248748497,0.0,0.0,0.0,0.0,0.0
64,0.7699806886311071,0.0,0.0,0.0,0.0,0.0
65,0.7714816541995517,0.0,0.0,0.0,0.0,0.0
66,0.7729075714895741,0.0,0.0,0.0,0.0,0.0
67,0.7742621929150955,0.0,0.0,0.0,0.0,0.0
68,0.7755490832693407,0.0,0.0,0.0,0.0,0.0
69,0.7767716291058736,0.0,0.0,0.0,0.0,0.0
70,0.7779330476505799,0.0,0.0,0.0,0.0,0.0
